Sample_ID,Label,UTM_Est,UTM_Nord,Palmitic,Palmitoleic,Heptadecenoic,Oleic,t.Octadecenoic,Linoleic,Linolenic,Eicosanoic,Eicosenoic,Behenic
AUL1,CE,534267.413,4492947.504,12.36,2.02,0,72.41,4.12,7.79,0.7,0.6,0,0
AUL2,CE,534264.37,4492946.713,11.9,2.14,0,75.19,3.92,5.75,0.56,0.53,0,0
AUL3,CE,534430.35,4491933.233,12.8,2.13,0,71.5,4.14,8.52,0.41,0.5,0,0
AUL4,CE,534446.498,4491955.508,12.49,2.67,0,72.52,4.17,7.32,0.38,0.45,0,0
AUL5,CE,534715.368,4491760.944,12.5,2.34,0,71.79,4.27,9.36,0.5,0.47,0,0
AUL6,CE,534868.4,4491583.06,12.28,2.13,0,74.44,4.03,6.09,0.52,0.52,0,0
AUL7,CE,535497.58,4491437.24,12.55,2.41,0,73.07,3.83,7.35,0.34,0.46,0,0
AUL8,CE,535539.75,4491087.73,12.52,2.46,0,72.83,4.43,6.94,0.41,0.42,0,0
AUL9,CE,536713.234,4490091.352,11.69,1.66,0,75.49,2.66,7.07,0.85,0.59,0,0
AUL10,CE,536793.104,4490152.798,12.37,2.05,0,74.03,3.34,7.04,0.66,0.51,0,0
AUL11,CE,537281.8,4490567.494,12.83,1.95,0,71.17,3.64,9.63,0.46,0.34,0,0
AUL12,CE,537330.658,4490564.964,12.49,2.1,0,72.32,3.29,8.69,0.65,0.45,0,0
AUL13,CE,536570.543,4488515.521,11.54,1.99,0,75.74,3.25,6.39,0.61,0.48,0,0
AUL14,CE,536566.01,4488489.268,12.56,2.29,0,72.49,3.53,8.16,0.51,0.46,0,0
AUL15,CE,536231.947,4488509.527,12.31,2.36,0,71.54,4.38,8.41,0.59,0.4,0,0
AUL16,CE,536282.429,4488478.995,13.57,1.99,0,73.13,4.09,6.34,0.41,0.47,0,0
BUC1,CE,532727.802,4495565.835,14.22,2.63,0,67.32,4.74,10.05,0.57,0.47,0,0
BUC3,CE,532150.142,4495122.742,12.7,2.8,0,70.47,4.06,9.08,0.46,0.43,0,0
BUC4,CE,532126.319,4495094.888,13.81,2.58,0,70.27,3.47,8.99,0.44,0.44,0,0
BUC5,CE,529401.035,4493959.384,13.48,2.8,0,73.44,3.77,5.62,0.49,0.39,0,0
BUC6,CE,529403.429,4493953.066,13.04,2.38,0,70.92,4.39,8.41,0.47,0.41,0,0
BUC7,CE,526891.419,4495352.099,13.85,2.71,0,69.32,3.88,9.34,0.47,0.43,0,0
BUC8,CE,526953.777,4495349.66,12.08,1.75,0,72.9,2.89,9.08,0.78,0.52,0,0
BUC10,CE,528045.836,4494659.587,12.61,2.5,0,70.87,4.18,9.02,0.39,0.43,0,0
CAG1,CE,538327.991,4490677.031,12.76,1.35,0,74.93,3.43,6.48,0.44,0.61,0,0
CAG2,CE,538296.13,4490749.131,12.7,2.09,0,73.12,3.95,7.4,0.33,0.42,0,0
CAG3,CE,538800.987,4490376.989,12.13,1.94,0,72.59,4.61,8.09,0.25,0.38,0,0
CAG4,CE,538802.953,4490357.129,12.02,1.96,0,75.35,3.52,6.43,0.33,0.38,0,0
CAG5,CE,540274.39,4490086.2,12.07,1.92,0,74.92,3.71,6.69,0.32,0.39,0,0
CAG6,CE,540391.997,4490133.454,12.84,2.21,0,71.53,4.37,8.33,0.33,0.4,0,0
CAG7,CE,540447.444,4490087.577,12.44,1.99,0,74.12,3.45,7.16,0.41,0.43,0,0
CAG8,CE,540483.849,4490087.33,12.27,2.1,0,73.1,3.62,8.14,0.38,0.39,0,0
CAG9,CE,539534.417,4489697.274,12.15,2.09,0,75.12,3.72,6.19,0.37,0.36,0,0
CAG10,CE,539535.744,4489734.467,10.94,1.91,0,73.78,3.77,9,0.26,0.33,0,0
PER1,CE,538213.492,4488272.977,13.35,2.42,0,71.41,3.58,8.21,0.54,0.5,0,0
PER2,CE,538209.2,4488366.976,13.21,2.6,0,69.83,4.29,9.13,0.52,0.43,0,0
PER3,CE,538227.354,4488343.98,12.58,2.54,0,72.55,4.26,7.18,0.46,0.42,0,0
PER4,CE,537454.032,4488534.871,13.16,2.71,0,72.22,3.94,7.16,0.37,0.43,0,0
PER5,CE,537464.207,4488532.036,13.24,2.44,0,72.44,3.72,7.32,0.39,0.46,0,0
PER6,CE,537368.092,4488719.373,12.52,2.62,0,73.37,4.06,6.57,0.4,0.46,0,0
PER7,CE,537374.431,4488670.896,12.64,2.39,0,73.63,4.06,6.33,0.48,0.48,0,0
PER8,CE,537386.547,4488652.53,12.78,2.21,0,71.7,4.54,7.88,0.4,0.49,0,0
PER9,CE,537292.681,4488712.335,13.35,2.36,0,72.34,3.69,7.33,0.5,0.43,0,0
PER10,CE,537300.273,4488752.002,12.41,2.58,0,73.88,4.18,6.16,0.38,0.42,0,0
PET1,CE,533537.035,4490079.06,13.15,2.12,0,73.05,4.06,6.86,0.46,0.31,0,0
PET2,CE,533513.788,4490090.277,12.76,2.21,0,72.97,4.17,7.17,0.36,0.36,0,0
PET3,CE,533529.536,4489581.397,12.69,1.88,0,73.25,3.8,7.6,0.4,0.37,0,0
PET4,CE,533509.645,4489580.197,12.3,2.25,0,73.62,4.58,6.59,0.34,0.34,0,0
PET5,CE,533490.844,4489562.574,11.98,2.03,0,74.13,3.67,7.44,0.39,0.36,0,0
PET6,CE,533481.07,4489533.114,14.1,1.24,0,73.03,2.8,7.83,0.48,0.51,0,0
PET7,CE,533508.2,4489506.151,13.97,1.1,0,75.09,2.57,6.17,0.52,0.59,0,0
